Game,Publisher,Publisher2,Genre,Genre2,Release.Year,Release.Year2,ESRB.Rating,ESRB.Rating2,Multiplayer,Multiplayer2,Metacritic.Score,Exclusivity,Sales.N.A.,Sales.Eur,Sales.Jap,Sales.Other,Sales.Total
Virtua Quest,Sega,Sega,RolePlaying,RolePlaying,2005,2005,T,TM,1,1,55,No,0.01,NA,NA,NA,0.01
Virtua Striker 2002,Sega,Sega,Sports,Sports,2002,2002,E,EE10,2,2,58,Yes,0.01,NA,0.03,NA,0.05
V-Rally 3,Atari,Atari,Racing,Racing,2003,2003,E,EE10,4,4,NA,No,NA,NA,NA,NA,NA
Wallace & Gromit in Project Zoo,BAM! Entertainment,Other,Platformer,Platformer,2003,2003,E,EE10,1,1,66,No,0.05,0.01,NA,NA,0.07
Wario World,Nintendo,Nintendo,Platformer,Platformer,2003,2003,E,EE10,1,1,71,Yes,0.34,0.09,NA,0.01,0.44
"WarioWare, Inc.: Mega Party Game$",Nintendo,Nintendo,Puzzle,Other,2003,2003,E,EE10,4,4,76,Yes,0.2,0.05,0.44,0.02,0.71
Wave Race: Blue Storm,Nintendo,Nintendo,Racing,Racing,2001,2002,E,EE10,4,4,80,Yes,0.4,0.1,0.09,0.02,0.6
Whirl Tour,Vivendi Games,Vivendi Games,Sports,Sports,2002,2002,E,EE10,2,2,61,No,0.04,0.01,NA,NA,0.05
World Championship Pool 2004,Jaleco,Other,Sports,Sports,2005,2005,E,EE10,2,2,NA,No,NA,NA,NA,NA,NA
World Racing,Konami Digital Entertainment,Konami Digital Entertainment,Racing,Racing,2004,2004,E,EE10,2,2,NA,No,NA,NA,NA,NA,NA
World Series of Poker,Activision,Activision,Miscellaneous,Other,2005,2005,E10,EE10,1,1,44,No,0.04,0.01,NA,NA,0.05
World Soccer Winning Eleven 6 Final Evolution,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2003,2003,NA,NA,4,4,NA,No,NA,NA,NA,NA,NA
Worms 3D,Sega,Sega,Strategy,Other,2003,2003,T,TM,4,4,69,No,0.05,0.01,NA,NA,0.07
Worms Blast,Ubisoft,Ubisoft,Puzzle,Other,2002,2002,E,EE10,2,2,65,No,0.05,0.01,NA,NA,0.06
Wreckless: ThE YaKuza MisSiOns,Activision,Activision,Racing,Racing,2002,2002,T,TM,2,2,58,No,0.04,0.01,NA,NA,0.06
WTA Tour Tennis,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2002,2002,T,TM,4,4,55,No,0.01,NA,NA,NA,0.01
WWE Crush Hour,THQ,THQ,Racing,Racing,2003,2003,T,TM,2,2,55,No,0.06,0.02,NA,NA,0.08
WWE Day of Reckoning,THQ,THQ,Fighting,Fighting,2004,2004,T,TM,4,4,79,Yes,0.35,0.09,NA,0.01,0.45
WWE Day of Reckoning 2,THQ,THQ,Fighting,Fighting,2005,2005,T,TM,4,4,76,Yes,0.26,0.07,NA,0.01,0.34
WWE Wrestlemania X8,THQ,THQ,Fighting,Fighting,2002,2002,T,TM,4,4,64,Yes,0.38,0.1,NA,0.01,0.49
WWE Wrestlemania XIX,THQ,THQ,Fighting,Fighting,2003,2003,T,TM,4,4,76,Yes,0.26,0.07,NA,0.01,0.33
X2: Wolverine's Revenge,Activision,Activision,Platformer,Platformer,2003,2003,T,TM,1,1,62,No,0.09,0.02,NA,NA,0.12
XGIII: Extreme G Racing,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2001,2002,E,EE10,4,4,83,No,0.12,0.03,NA,NA,0.15
XGRA: Extreme G Racing Association,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,T,TM,4,4,69,No,0.02,NA,NA,NA,0.02
XIII,Ubisoft,Ubisoft,Shooter,Shooter,2003,2003,M,TM,4,4,73,No,0.07,0.02,NA,NA,0.09
X-Men Legends,Activision,Activision,RolePlaying,RolePlaying,2004,2004,T,TM,4,4,81,No,0.41,0.11,NA,0.01,0.53
X-Men Legends II: Rise of Apocalypse,Activision,Activision,RolePlaying,RolePlaying,2005,2005,T,TM,4,4,82,No,0.19,0.05,NA,0.01,0.25
X-Men: Next Dimension,Activision,Activision,Fighting,Fighting,2002,2002,T,TM,2,2,63,No,0.1,0.03,NA,NA,0.13
X-Men: The Official Game,Activision,Activision,ActionAdventure,ActionAdventure,2006,2005,T,TM,1,1,50,No,0.12,0.03,NA,NA,0.15
Yu-Gi-Oh! The Falsebound Kingdom,Konami Digital Entertainment,Konami Digital Entertainment,Strategy,Other,2002,2002,E,EE10,1,1,44,Yes,0.49,0.13,0.07,0.02,0.71
Zapper: One Wicked Cricket!,Infogrames Entertainment,Other,Platformer,Platformer,2002,2002,E,EE10,4,4,55,No,0.1,0.03,NA,NA,0.13
Zatch Bell! Mamodo Battles,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2005,2005,T,TM,2,2,57,No,0.05,0.01,NA,NA,0.06
Zatch Bell! Mamodo Fury,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2005,2005,T,TM,4,4,44,No,0.03,0.01,NA,NA,0.04
Zoids Vs.,Tomy Corporation,Other,ActionAdventure,ActionAdventure,2002,2002,T,TM,2,2,NA,Yes,NA,NA,NA,NA,NA
Zoids Vs. III,Tomy Corporation,Other,Shooter,Shooter,2004,2004,T,TM,4,4,NA,Yes,NA,NA,NA,NA,NA
Zoids: Battle Legends,Tomy Corporation,Other,ActionAdventure,ActionAdventure,2003,2003,T,TM,2,2,NA,Yes,0.12,0.03,NA,NA,0.15
Zoids: Full Metal Crash,Tomy Corporation,Other,Fighting,Fighting,2005,2005,NA,NA,2,2,NA,Yes,NA,NA,NA,NA,NA
ZooCube,Acclaim Entertainment,Acclaim Entertainment,Puzzle,Other,2002,2002,E,EE10,4,4,67,No,0.02,NA,NA,NA,0.02
