Game,Publisher,Publisher2,Genre,Genre2,Release.Year,Release.Year2,ESRB.Rating,ESRB.Rating2,Multiplayer,Multiplayer2,Metacritic.Score,Exclusivity,Sales.N.A.,Sales.Eur,Sales.Jap,Sales.Other,Sales.Total
NBA Courtside 2002,Nintendo,Nintendo,Sports,Sports,2002,2002,E,EE10,4,4,71,Yes,0.19,0.05,NA,0.01,0.25
NBA Live 06,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,EE10,4,4,76,No,0.25,0.07,NA,0.01,0.33
NBA Live 2003,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,EE10,4,4,82,No,0.23,0.06,NA,0.01,0.3
NBA Live 2004,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,EE10,4,4,84,No,0.21,0.05,NA,0.01,0.27
NBA Live 2005,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,4,4,83,No,0.35,0.09,NA,0.01,0.45
NBA Street,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,EE10,2,2,88,No,0.33,0.09,NA,0.01,0.42
NBA Street V3,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,EE10,4,4,88,No,0.23,0.06,NA,0.01,0.29
NBA Street Vol. 2,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,EE10,4,4,88,No,0.41,0.11,NA,0.01,0.54
NCAA College Basketball 2K3,Sega,Sega,Sports,Sports,2002,2002,E,EE10,4,4,82,No,0.01,NA,NA,NA,0.01
NCAA College Football 2K3,Sega,Sega,Sports,Sports,2002,2002,E,EE10,2,2,70,No,0.05,0.01,NA,NA,0.07
NCAA Football 2003,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,EE10,4,4,91,No,0.16,0.04,NA,0.01,0.21
NCAA Football 2004,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,EE10,4,4,89,No,0.12,0.03,NA,NA,0.15
NCAA Football 2005,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,4,4,88,No,0.17,0.04,NA,0.01,0.22
Need for Speed Carbon,Electronic Arts,Electronic Arts,Racing,Racing,2006,2005,E10,EE10,2,2,75,No,0.27,0.07,NA,0.01,0.35
Need for Speed Underground,Electronic Arts,Electronic Arts,Racing,Racing,2003,2003,E,EE10,2,2,83,No,0.69,0.48,0.01,0.03,1.21
Need for Speed Underground 2,Electronic Arts,Electronic Arts,Racing,Racing,2004,2004,E,EE10,2,2,80,No,0.7,0.39,0.01,0.03,1.14
Need for Speed: Hot Pursuit 2,Electronic Arts,Electronic Arts,Racing,Racing,2002,2002,E,EE10,2,2,68,No,0.68,0.09,NA,0.02,0.8
Need for Speed: Most Wanted,Electronic Arts,Electronic Arts,Racing,Racing,2005,2005,T,TM,2,2,80,No,0.43,0.11,NA,0.02,0.56
Neighbours From Hell,JoWood Productions,Other,Strategy,Other,2005,2005,E,EE10,1,1,NA,No,NA,NA,NA,NA,NA
NFL 2K3,Sega,Sega,Sports,Sports,2002,2002,E,EE10,4,4,92,No,0.17,0.04,NA,0.01,0.22
NFL Blitz 20-02,Midway Games,Midway Games,Sports,Sports,2002,2002,E,EE10,4,4,77,No,0.07,0.02,NA,NA,0.09
NFL Blitz 20-03,Midway Games,Midway Games,Sports,Sports,2002,2002,E,EE10,4,4,72,No,0.11,0.03,NA,NA,0.14
NFL Blitz Pro,Midway Games,Midway Games,Sports,Sports,2003,2003,E,EE10,4,4,71,No,0.02,NA,NA,NA,0.02
NFL Quarterback Club 2002,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2001,2002,E,EE10,4,4,53,No,0.04,0.01,NA,NA,0.05
NFL Street,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,4,4,81,No,0.27,0.07,NA,0.01,0.35
NFL Street 2,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,4,4,77,No,0.15,0.04,NA,0.01,0.2
NHL 06,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E10,EE10,4,4,78,No,0.06,0.02,NA,NA,0.08
NHL 2003,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,EE10,4,4,79,No,0.1,0.03,NA,NA,0.13
NHL 2004,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,EE10,4,4,85,No,0.08,0.02,NA,NA,0.1
